id_pessoa;abs_eventos;abs_qtd_total;horas_previstas_total;acidentes_eventos;acidentes_com_afastamento;acidentes_dias_perdidos;he_eventos;he_referencia_total;he_valor_total;hi_eventos;hi_minutos_irregulares;hi_minutos_extras;mov_sal_eventos;mov_sal_valor_total;mov_sal_perc_medio
jan-900000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.0;957.0000841701777;0.0;7.0;1132.9658471677162;0.16423300404109775
jan-900001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;7678.470681738528;0.0;2.0;142.94030419717708;0.07294785253812616
jan-900002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
jan-900003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;3288.4642431221037;0.0;4.0;298.24121513865117;0.05973128084859081
jan-900004;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.6658250728827844;16.689954900840178;0.0;0.0;0.0;3.0;361.58646105109744;0.08820250870439285
jan-900005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
jan-900006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
jan-900007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;273.09923212100546;0.0;0.0;0.0;0.0
jan-900008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
jan-900009;0.0;0.0;0.0;0.0;0.0;0.0;3.0;6.272733383806858;120.71595522476713;0.0;0.0;0.0;0.0;0.0;0.0
jan-900010;0.0;0.0;0.0;0.0;0.0;0.0;5.0;30.419309118710537;410.93635484412806;3.0;93.51823995065956;0.0;1.0;43.548796066642716;0.032220497961816905
jan-900011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
jan-900012;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;652.4086081766067;0.0;3.0;72.29852260639251;0.01912342082107525
jan-900013;0.0;0.0;0.0;0.0;0.0;0.0;28.0;209.6608061848218;1798.0514967845081;31.0;6976.477014808851;0.0;6.0;304.79498326629795;0.04091055206514938
jan-900014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
jan-900015;0.0;0.0;0.0;0.0;0.0;0.0;51.0;169.12069535508232;2355.8753052070765;42.0;9964.662495497585;0.0;11.0;686.957259397064;0.05598454951680767
jan-900016;0.0;0.0;0.0;0.0;0.0;0.0;7.0;9.171698554972597;138.57721102311132;3.0;1055.5831423644775;0.0;4.0;233.73963001373585;0.039636107649155115
jan-900017;0.0;0.0;0.0;0.0;0.0;0.0;8.0;41.723648763742204;916.7669009888705;12.0;3360.416700529519;0.0;4.0;47.43038584555228;0.006900959772176918
jan-900018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1081.922749556671;0.0;3.0;71.6412759304794;0.026542598664095526
jan-900019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;566.2803514592159;0.0;1.0;22.823905429636298;0.019772090974283247
jan-900020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;223.84122843472917;0.0;5.0;435.41775911176103;0.07526790341294075
jan-900021;0.0;0.0;0.0;0.0;0.0;0.0;29.0;73.67922471155497;993.7229429964449;4.0;2051.4153789108373;0.0;2.0;239.2633328689302;0.09617066537328073
jan-900022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;14.408721398670439;0.008099405052210218
jan-900023;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;21.36957894774364;0.015821097177291805
jan-900024;0.0;0.0;0.0;0.0;0.0;0.0;10.0;19.05819482558686;153.21493919048027;1.0;523.8053760977881;0.0;1.0;71.00296956661164;0.04758434297907654
jan-900025;0.0;0.0;0.0;0.0;0.0;0.0;16.0;54.14413449371035;745.2240262124144;16.0;5702.76557403535;0.0;3.0;308.42891814395216;0.09034403064014428
jan-900026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;2199.8809248301372;0.0;1.0;49.166831369042754;0.039901318361244456
jan-900027;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
jan-900028;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;20.0;11263.094572037156;0.0;8.0;676.7345934258451;0.06529192112320763
jan-900029;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;16.0;1109.5064495281765;0.0;1.0;8.633603463123924;0.010260051391301766
jan-900030;0.0;0.0;0.0;0.0;0.0;0.0;2.0;3.779446262274449;51.08227298987366;1.0;504.2598978809009;0.0;1.0;108.15210987749646;0.09776227950868385
jan-900031;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
jan-900032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
jan-900033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;347.43034381248043;0.04509901252786588
jan-900034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
jan-900035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;22.353280821721796;0.024908356032584074
jan-900036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;1679.5121742760962;0.0;3.0;210.6061639029646;0.050531360140401174
jan-900037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;765.8885274290806;0.0;1.0;50.63005416142387;0.03182084305236665
jan-900038;0.0;0.0;0.0;0.0;0.0;0.0;22.0;102.20489939582416;1090.7986193968757;31.0;5713.793878326154;0.0;7.0;452.6039304979335;0.06238619379873952
jan-900039;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;375.7619455129213;0.0;0.0;0.0;0.0
jan-900040;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;25.03593596808399;0.04683516528402088
jan-900041;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
jan-900042;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
jan-900043;0.0;0.0;0.0;0.0;0.0;0.0;9.0;30.987924055358853;600.9952988182087;45.0;4517.9488688122765;0.0;3.0;283.2980432283258;0.05775873888228004
jan-900044;0.0;0.0;0.0;1.0;0.0;0.0;12.0;56.36358708373922;602.5272487732664;23.0;9975.544381559801;0.0;4.0;283.8797861811032;0.0449800589296404
jan-900045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;231.1686705095142;0.04924287606614753
jan-900046;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
jan-900047;0.0;0.0;0.0;0.0;0.0;0.0;18.0;174.40103990298675;3004.6767878045803;25.0;8850.63357279824;0.0;3.0;172.59217798596998;0.02802546527714927
jan-900048;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;406.69884910407364;0.03704256427746085
jan-900049;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
jan-900050;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
jan-900051;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1201.1062711489299;0.0;4.0;454.91804591962534;0.08601295716040519
jan-900052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;8.796012690223717;0.0;0.0;0.0;0.0
jan-900053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
jan-900054;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;240.96249494665122;0.07193175286134197
jan-900055;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1123.8972858808;0.0;1.0;93.29363198875068;0.08493158815533487
jan-900056;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;41.40222310716252;0.03923295532597616
